                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3068,                 3.5884,                 1.0101,                0.00993,                0.94612,                0.69237,                 0.2195,                 1.9981,                  3.102,                 0.9231,                0.07038,              0.0032911,              0.0032911
                      1,                  2.189,                 1.6207,                 0.9602,                0.43849,                 0.7069,                0.40877,                0.13845,                 2.1963,                 1.9378,                0.96156,               0.040358,              0.0066026,              0.0066026
                      2,                 2.2431,                 1.7264,                0.99173,                0.79936,                0.83285,                0.85193,                0.30529,                 2.0463,                 1.4547,                0.98669,               0.010314,              0.0098921,              0.0098921
                      3,                 2.1995,                 1.5547,                0.99116,                0.75559,                0.64629,                0.70017,                0.27808,                 2.0305,                 1.7751,                0.97467,               0.009901,               0.009901,               0.009901
                      4,                 2.1867,                 1.2665,                0.96551,                0.79403,                0.81466,                 0.7415,                0.28581,                 2.1208,                 2.1423,                0.98756,               0.009901,               0.009901,               0.009901
                      5,                 2.1018,                 1.1735,                0.96184,                0.70004,                0.65889,                0.59487,                 0.1659,                 2.4443,                  1.524,                 1.0345,               0.009868,               0.009868,               0.009868
                      6,                 2.0316,                 1.0889,                0.96027,                0.88742,                0.87716,                0.90378,                0.38495,                 1.8188,                 2.1337,                  0.926,               0.009835,               0.009835,               0.009835
                      7,                 1.9771,                 1.0162,                0.94161,                0.93366,                0.85345,                0.89807,                0.37643,                 1.9351,                 1.1328,                0.95039,               0.009802,               0.009802,               0.009802
                      8,                 1.9853,                 1.0336,                0.94934,                0.93752,                 0.8944,                0.94071,                0.37194,                 1.8875,                  1.034,                0.91951,               0.009769,               0.009769,               0.009769
                      9,                 1.9434,                 1.0075,                0.94314,                0.65946,                0.46336,                0.58668,                0.21111,                 2.2317,                  1.949,                 1.0085,               0.009736,               0.009736,               0.009736
                     10,                 1.9141,                0.97546,                0.94105,                0.93042,                 0.8944,                0.93968,                0.41105,                 1.8736,                0.96008,                0.91975,               0.009703,               0.009703,               0.009703
                     11,                 1.9163,                0.95446,                0.94633,                0.83212,                0.77984,                0.79481,                0.29563,                  2.017,                 1.1953,                 0.9606,                0.00967,                0.00967,                0.00967
                     12,                 1.8928,                 0.9482,                0.93055,                0.84605,                0.78233,                0.75677,                  0.247,                 2.3892,                 1.2015,                 1.0015,               0.009637,               0.009637,               0.009637
                     13,                 1.9118,                0.94971,                0.93721,                 0.4977,                0.24353,                0.27458,                0.09573,                 3.3042,                  2.129,                 1.2804,               0.009604,               0.009604,               0.009604
                     14,                 1.8737,                0.90971,                0.92343,                0.97959,                0.93112,                0.97174,                0.44256,                 1.7743,                0.82391,                0.91003,               0.009571,               0.009571,               0.009571
                     15,                 1.8178,                 0.8679,                0.92951,                0.97426,                0.89733,                0.91991,                0.40755,                 1.9046,                0.94022,                0.92513,               0.009538,               0.009538,               0.009538
                     16,                 1.8031,                0.85616,                0.91233,                0.95975,                0.88793,                0.87415,                0.32605,                 2.0532,                 1.1266,                 0.9498,               0.009505,               0.009505,               0.009505
                     17,                 1.8507,                0.88893,                0.92458,                0.73285,                0.74569,                0.68262,                0.26766,                 2.0527,                 1.1098,                0.96336,               0.009472,               0.009472,               0.009472
                     18,                 1.8049,                0.86766,                0.92002,                0.96842,                0.92528,                 0.9618,                 0.4547,                 1.7163,                0.82441,                0.89993,               0.009439,               0.009439,               0.009439
                     19,                   1.81,                0.85529,                0.91121,                0.96055,                0.90302,                0.92739,                0.39459,                 1.8759,                 0.9371,                0.92285,               0.009406,               0.009406,               0.009406
                     20,                  1.806,                0.85755,                0.92176,                0.91848,                0.89009,                0.89813,                0.34917,                 2.0341,                 1.0091,                0.94086,               0.009373,               0.009373,               0.009373
                     21,                 1.8063,                0.85308,                0.90366,                0.97505,                0.92657,                0.95861,                0.38785,                 1.9072,                 1.1489,                0.91748,                0.00934,                0.00934,                0.00934
                     22,                 1.7758,                0.87241,                0.90628,                0.95832,                0.94148,                0.97935,                0.46309,                 1.6903,                0.85986,                0.89447,               0.009307,               0.009307,               0.009307
                     23,                 1.7791,                0.85849,                0.91374,                0.98198,                0.95043,                0.97672,                0.44622,                 1.6821,                0.78271,                 0.8921,               0.009274,               0.009274,               0.009274
                     24,                 1.7531,                0.83716,                0.91027,                0.98595,                0.88362,                0.91731,                0.43535,                 1.7163,                0.83735,                0.89899,               0.009241,               0.009241,               0.009241
                     25,                 1.7617,                0.81963,                0.91806,                0.96434,                0.88578,                 0.9083,                0.39567,                 1.8614,                0.90102,                0.91585,               0.009208,               0.009208,               0.009208
                     26,                 1.7562,                0.81664,                0.90884,                0.99302,                0.91922,                0.95212,                0.45416,                 1.6839,                0.82827,                0.89597,               0.009175,               0.009175,               0.009175
                     27,                 1.7703,                0.84028,                0.90767,                0.98247,                0.96636,                0.98198,                0.45968,                 1.7006,                0.78849,                0.90093,               0.009142,               0.009142,               0.009142
                     28,                 1.7434,                 0.8112,                0.91833,                 0.9853,                0.96121,                0.98402,                0.46907,                 1.6816,                0.75318,                0.89294,               0.009109,               0.009109,               0.009109
                     29,                 1.7568,                0.79919,                0.90523,                0.99578,                0.97414,                0.99373,                0.47044,                 1.7561,                0.76632,                0.89535,               0.009076,               0.009076,               0.009076
                     30,                 1.7745,                0.80715,                0.90545,                0.97962,                 0.9569,                0.97991,                0.46776,                  1.738,                0.77935,                0.90885,               0.009043,               0.009043,               0.009043
                     31,                 1.7429,                0.80743,                0.90125,                0.98636,                0.96336,                0.97871,                0.48176,                 1.6599,                0.79923,                0.88788,                0.00901,                0.00901,                0.00901
                     32,                 1.7177,                 0.8046,                0.89872,                0.99124,                 0.9757,                 0.9879,                0.47294,                 1.6539,                0.71586,                0.89001,               0.008977,               0.008977,               0.008977
                     33,                 1.7047,                 0.7897,                0.90183,                0.90803,                0.90733,                0.93627,                0.40635,                 1.7718,                0.94267,                 0.9057,               0.008944,               0.008944,               0.008944
                     34,                 1.7236,                0.79234,                0.90565,                0.98884,                0.97414,                0.98915,                 0.5109,                 1.5911,                0.72105,                0.87942,               0.008911,               0.008911,               0.008911
                     35,                 1.7125,                0.77532,                0.88751,                0.99071,                0.96552,                0.98891,                0.49932,                 1.6282,                0.71684,                0.88283,               0.008878,               0.008878,               0.008878
