                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7802,                 4.1345,                 1.1509,                0.00083,                0.07143,                0.00048,                0.00019,                 1.8498,                 4.0897,                 1.1925,                 0.0973,                 0.0003,                 0.0003
                      1,                 1.6757,                 4.0578,                 1.1088,                0.00063,                0.05357,                0.00038,                0.00024,                 1.5045,                 4.0064,                 1.0856,               0.093698,             0.00069769,             0.00069769
                      2,                 1.4876,                 3.8647,                 1.0088,                0.00125,                0.10714,                0.00081,                0.00049,                 1.2616,                 3.8419,                0.99151,               0.090093,              0.0010927,              0.0010927
                      3,                 1.3543,                 3.1155,                0.94668,                0.00354,                0.30357,                 0.0037,                0.00232,                 1.2408,                 3.6355,                0.96846,               0.086485,              0.0014851,              0.0014851
                      4,                 1.3682,                 1.6871,                0.99944,                0.00979,                0.83929,                0.02147,                0.01293,                 1.2164,                 3.4257,                0.95355,               0.082875,              0.0018749,              0.0018749
                      5,                 1.3479,                 1.4858,                0.97254,                0.01146,                0.98214,                0.03038,                0.01984,                 1.1564,                 3.2861,                  0.926,               0.079262,              0.0022621,              0.0022621
                      6,                 1.2854,                 1.2783,                0.97261,                0.01167,                      1,                0.03567,                0.02281,                  1.134,                 3.3107,                0.91323,               0.075647,              0.0026465,              0.0026465
                      7,                 1.3663,                 1.3198,                0.95928,                0.01167,                      1,                 0.0356,                0.02238,                 1.1751,                 3.2427,                0.92383,               0.072028,              0.0030284,              0.0030284
                      8,                 1.2905,                 1.1422,                0.97242,                0.01167,                      1,                0.05548,                0.03589,                 1.3028,                 3.0971,                0.95254,               0.068408,              0.0034076,              0.0034076
                      9,                 1.3289,                 1.1216,                0.94434,                0.01167,                      1,                0.22158,                0.13628,                 1.1903,                 3.0342,                0.92378,               0.064784,              0.0037842,              0.0037842
                     10,                 1.3077,                 1.0861,                0.94713,                0.01167,                      1,                0.14216,                0.09976,                 1.1608,                 3.1008,                0.91088,               0.061158,              0.0041581,              0.0041581
                     11,                 1.3848,                 1.0137,                0.95591,                0.01167,                      1,                0.85948,                 0.5388,                  1.259,                 2.9003,                0.94076,               0.057529,              0.0045294,              0.0045294
                     12,                  1.383,                 0.9597,                0.95902,                0.01167,                      1,                0.88117,                0.55874,                 1.1688,                 2.9352,                0.92327,               0.053898,               0.004898,               0.004898
                     13,                 1.3249,                0.94615,                 0.9593,                0.01167,                      1,                0.85539,                0.44561,                  1.308,                 3.0408,                0.96101,               0.050264,               0.005264,               0.005264
                     14,                  1.405,                 1.0196,                0.97034,                0.01167,                      1,                0.05728,                0.03547,                 1.2774,                 3.2296,                0.93886,               0.046627,              0.0056274,              0.0056274
                     15,                  1.384,                 1.1572,                0.94052,                0.01167,                      1,                  0.995,                0.65577,                 1.2039,                 2.5309,                0.95352,               0.042988,              0.0059881,              0.0059881
                     16,                 1.3021,                0.96966,                0.95532,                0.01167,                      1,                0.87641,                0.50811,                 1.3933,                 2.9158,                0.97766,               0.039346,              0.0063462,              0.0063462
                     17,                 1.2586,                0.90624,                0.94758,                0.01167,                      1,                  0.995,                0.56167,                 1.4043,                 2.5157,                 1.0022,               0.035702,              0.0067017,              0.0067017
                     18,                 1.4189,                0.91349,                 0.9528,                0.02798,                      1,                0.99254,                0.54118,                 1.3415,                 2.3324,                0.98521,               0.032054,              0.0070545,              0.0070545
                     19,                 1.4403,                0.94987,                0.97952,                  0.041,                      1,                0.99447,                0.59559,                 1.3331,                  2.311,                  1.003,               0.028405,              0.0074047,              0.0074047
                     20,                 1.3019,                0.94519,                0.94902,                      1,                0.98222,                  0.995,                0.60191,                 1.3966,                 1.5918,                 1.0462,               0.024752,              0.0077522,              0.0077522
                     21,                 1.4413,                 1.1371,                 0.9866,                0.01167,                      1,                  0.995,                0.58344,                 1.2607,                 2.3885,                0.96185,               0.021097,              0.0080971,              0.0080971
                     22,                 1.2943,                 1.1212,                0.94014,                0.99308,                      1,                  0.995,                0.67524,                 1.2193,                 1.1056,                0.96767,               0.017439,              0.0084393,              0.0084393
                     23,                 1.2287,                 1.0558,                0.90508,                      1,                0.80301,                0.99289,                0.60561,                  1.245,                  1.998,                0.96268,               0.013779,               0.008779,               0.008779
                     24,                 1.3205,                 1.0733,                0.94006,                0.99842,                      1,                  0.995,                0.59374,                 1.3593,                 1.2515,                 1.0093,               0.010116,              0.0091159,              0.0091159
                     25,                 1.4525,                0.95389,                0.97119,                      1,                0.99193,                  0.995,                0.58247,                 1.4398,                 1.5978,                 1.0327,               0.009175,               0.009175,               0.009175
                     26,                 1.3756,                0.93376,                 1.0052,                      1,                0.99609,                  0.995,                0.60334,                 1.3232,                 1.1761,                0.99576,               0.009175,               0.009175,               0.009175
                     27,                 1.3961,                0.88377,                0.97688,                      1,                0.99773,                  0.995,                 0.5453,                 1.5121,                0.97796,                 1.0654,               0.009142,               0.009142,               0.009142
                     28,                 1.4201,                0.89769,                0.99142,                      1,                0.99366,                  0.995,                0.67811,                 1.1524,                 1.2167,                0.95434,               0.009109,               0.009109,               0.009109
                     29,                 1.4228,                0.86014,                0.94165,                      1,                0.99866,                  0.995,                0.53091,                 1.6202,                0.90838,                 1.0862,               0.009076,               0.009076,               0.009076
                     30,                 1.4769,                0.87695,                0.95332,                0.98237,                 0.9951,                0.99482,                 0.6314,                 1.3248,                0.96252,                 1.0271,               0.009043,               0.009043,               0.009043
                     31,                 1.4987,                0.86487,                0.96466,                0.99265,                0.98214,                0.99482,                0.59044,                 1.3463,                 1.1759,                 0.9996,                0.00901,                0.00901,                0.00901
                     32,                 1.3793,                0.90419,                0.94953,                0.99871,                      1,                  0.995,                0.65629,                 1.2274,                0.73628,                0.98472,               0.008977,               0.008977,               0.008977
                     33,                 1.2718,                0.85525,                0.95192,                0.99928,                      1,                  0.995,                 0.6065,                 1.3127,                  1.069,                 0.9828,               0.008944,               0.008944,               0.008944
                     34,                 1.2228,                0.88845,                0.93786,                0.99888,                      1,                  0.995,                0.62858,                 1.2548,                0.74899,                0.99856,               0.008911,               0.008911,               0.008911
                     35,                 1.2317,                0.83129,                0.94994,                0.99905,                      1,                  0.995,                0.59653,                 1.3869,                0.91754,                 1.0016,               0.008878,               0.008878,               0.008878
                     36,                 1.2936,                0.89069,                0.96301,                0.99936,                      1,                  0.995,                0.68124,                  1.172,                0.70946,                0.96038,               0.008845,               0.008845,               0.008845
                     37,                 1.2501,                 0.7618,                0.92498,                0.99945,                      1,                  0.995,                0.62228,                 1.3723,                0.81877,                 1.0009,               0.008812,               0.008812,               0.008812
                     38,                 1.2726,                0.82587,                0.95867,                0.99914,                      1,                  0.995,                0.65723,                 1.1962,                  0.681,                0.95998,               0.008779,               0.008779,               0.008779
                     39,                 1.2553,                0.74052,                0.92739,                0.99894,                      1,                  0.995,                0.58177,                 1.4163,                0.74412,                 1.0267,               0.008746,               0.008746,               0.008746
                     40,                 1.2994,                0.76627,                0.93824,                0.99851,                      1,                  0.995,                0.67719,                 1.1479,                0.66756,                0.94489,               0.008713,               0.008713,               0.008713
                     41,                 1.2721,                0.72802,                0.92526,                0.99893,                      1,                  0.995,                0.59289,                 1.3804,                0.73573,                 1.0072,                0.00868,                0.00868,                0.00868
